Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
24211,5/18/10 5:29 PM,Tuesday,Auto,Bicycle,159,Hampshire St,,"159 Hampshire St Cambridge, MA",42.371723,-71.098224,"(42.371723, -71.098224)"
24212,5/18/10 5:45 PM,Tuesday,Auto,Bicycle,,Cottage St,River St," Cottage St & River St Cambridge, MA",42.364042,-71.108254,"(42.364042, -71.108254)"
24221,5/19/10 7:02 PM,Wednesday,Taxi,Bicycle,602,GREEN ST,,"602 GREEN ST Cambridge, MA",42.368459,-71.111397,"(42.368459, -71.111397)"
24236,5/22/10 3:59 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,Windsor St," Massachusetts Ave & Windsor St Cambridge, MA",42.361389,-71.096953,"(42.361389, -71.096953)"
24238,5/22/10 6:13 PM,Saturday,Truck,Bicycle,,Rindge Ave,Clifton St," Rindge Ave & Clifton St Cambridge, MA",42.393702,-71.136228,"(42.393702, -71.136228)"
24243,5/25/10 7:19 AM,Tuesday,Auto,Bicycle,,Cambridge St,SUMNER RD," Cambridge St & SUMNER RD Cambridge, MA",42.375266,-71.112729,"(42.375266, -71.112729)"
24246,5/24/10 5:22 PM,Monday,Auto,Bicycle,1745,Massachusetts Ave,,"1745 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,"(42.369202, -71.110689)"
24247,5/21/10 10:44 AM,Friday,Auto,Bicycle,,Sidney St,HAMILTON ST," Sidney St & HAMILTON ST Cambridge, MA",42.357864,-71.105423,"(42.357864, -71.105423)"
24251,5/26/10 3:04 PM,Wednesday,Moped,Bicycle,,Ames St,Amherst St," Ames St & Amherst St Cambridge, MA",42.360009,-71.087643,"(42.360009, -71.087643)"
24253,5/26/10 5:30 PM,Wednesday,Auto,Bicycle,,Brattle St,LEXINGTON AVE," Brattle St & LEXINGTON AVE Cambridge, MA",42.376345,-71.139754,"(42.376345, -71.139754)"
24256,5/27/10 4:11 PM,Thursday,Taxi,Bicycle,340,Putnam Ave,,"340 Putnam Ave Cambridge, MA",42.361554,-71.113335,"(42.361554, -71.113335)"
24261,5/27/10 11:49 AM,Sunday,Taxi,Bicycle,,Massachusetts Ave,EVERETT ST," Massachusetts Ave & EVERETT ST Cambridge, MA",42.380006,-71.119917,"(42.380006, -71.119917)"
24263,5/28/10 7:09 AM,Monday,Auto,Bicycle,12,EVERETT ST,,"12 EVERETT ST Cambridge, MA",42.379797,-71.118688,"(42.379797, -71.118688)"
24267,5/28/10 11:35 PM,Monday,Taxi,Bicycle,1945,Massachusetts Ave,,"1945 Massachusetts Ave Cambridge, MA",42.38975,-71.120095,"(42.38975, -71.120095)"
24271,6/1/10 11:23 AM,Tuesday,Auto,Bicycle,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372102,-71.088276,"(42.372102, -71.088276)"
24289,6/3/10 2:49 PM,Thursday,Auto,Bicycle,1544,Cambridge St,,"1544 Cambridge St Cambridge, MA",42.374379,-71.106302,"(42.374379, -71.106302)"
